subject,evidence1,evidence2,evidence3,evidence4,evidence5,evidence6,evidence7,evidence8,evidence9,evidence10,evidence11,evidence12,meanSamples,responseOtherInd,responseOtherSad,responseSad
13,47,37,23,2,48,37,45,20,8,34,36,33,30.83333333,44,1,NaN
13,19,12,3,44,48,17,33,37,49,46,19,18,28.75,41,1,NaN
13,29,38,35,32,42,38,47,28,40,9,50,35,35.25,15,1,NaN
13,46,40,30,11,43,33,28,36,27,22,22,25,30.25,7,1,NaN
13,16,5,18,18,28,33,6,25,50,32,14,24,22.41666667,2,0,NaN
13,17,27,39,3,30,34,19,38,49,13,7,4,23.33333333,32,1,NaN
13,40,23,18,10,26,39,16,9,2,30,37,46,24.66666667,25,1,NaN
13,31,18,43,12,50,43,33,44,34,13,9,49,31.58333333,3,1,NaN
13,35,46,33,33,23,18,45,26,1,19,37,27,28.58333333,2,1,NaN
13,37,34,37,49,11,25,28,39,4,50,21,39,31.16666667,36,1,NaN
13,34,49,45,33,31,12,50,46,18,49,35,34,36.33333333,43,1,NaN
13,43,43,12,6,12,6,22,37,21,26,36,3,22.25,30,1,NaN
13,33,50,16,47,19,5,20,38,4,36,20,19,25.58333333,4,0,NaN
13,26,2,28,19,24,49,7,31,29,49,34,49,28.91666667,37,1,NaN
13,49,13,27,13,36,11,33,18,22,48,8,7,23.75,14,0,NaN
13,13,22,4,1,41,16,11,14,9,44,21,15,17.58333333,17,0,NaN
13,35,37,16,5,4,8,11,26,18,25,42,37,22,NaN,NaN,0
13,3,28,17,22,8,13,50,13,48,2,12,35,20.91666667,NaN,NaN,0
13,35,31,22,20,3,25,31,42,36,15,19,22,25.08333333,NaN,NaN,1
13,22,6,30,49,38,39,9,21,39,6,27,15,25.08333333,NaN,NaN,1
13,49,2,21,18,9,16,8,1,39,10,26,17,18,NaN,NaN,0
13,16,14,35,46,47,43,40,25,33,26,9,14,29,NaN,NaN,0
13,48,23,34,29,43,38,1,38,3,49,39,16,30.08333333,NaN,NaN,1
13,16,20,29,31,48,26,20,9,15,36,32,29,25.91666667,NaN,NaN,0
13,29,45,21,2,13,12,42,30,12,45,24,36,25.91666667,NaN,NaN,1
13,2,49,30,33,42,35,43,50,12,41,25,34,33,NaN,NaN,1
14,2,38,24,38,15,40,18,33,29,3,43,44,27.25,14,1,NaN
14,11,28,33,41,25,12,35,42,49,21,14,5,26.33333333,25,0,NaN
14,8,8,39,45,39,45,29,14,30,25,15,48,28.75,30,1,NaN
14,34,33,8,36,43,29,12,24,31,16,1,1,22.33333333,29,0,NaN
14,14,17,14,2,40,26,23,12,47,1,30,12,19.83333333,36,1,NaN
14,25,33,21,27,41,9,50,50,33,3,2,14,25.66666667,6,1,NaN
14,41,22,21,2,9,15,46,8,48,4,34,42,24.33333333,39,0,NaN
14,16,41,42,48,8,16,45,23,19,29,32,2,26.75,35,1,NaN
14,1,7,6,34,39,15,41,18,7,10,15,7,16.66666667,13,0,NaN
14,38,29,47,50,10,35,40,37,42,7,30,36,33.41666667,17,1,NaN
14,3,14,30,18,30,27,3,7,11,25,23,39,19.16666667,18,0,NaN
14,29,38,35,32,42,38,47,28,40,9,50,35,35.25,15,1,NaN
14,13,22,4,1,41,16,11,14,9,44,21,15,17.58333333,17,0,NaN
14,2,35,7,5,34,6,2,45,14,3,40,50,20.25,8,0,NaN
14,19,12,3,44,48,17,33,37,49,46,19,18,28.75,41,1,NaN
14,27,1,2,31,25,16,27,24,7,9,29,10,17.33333333,50,0,NaN
14,38,21,4,43,38,14,4,30,25,30,24,24,24.58333333,5,0,NaN
14,40,12,1,37,41,21,48,1,48,44,18,39,29.16666667,31,1,NaN
14,28,39,34,41,6,38,38,8,12,43,38,40,30.41666667,19,1,NaN
14,21,8,29,38,14,3,12,20,35,21,46,29,23,38,0,NaN
14,14,39,48,40,14,18,46,24,41,9,44,29,30.5,48,0,NaN
14,34,15,28,8,34,42,48,27,8,21,14,7,23.83333333,45,1,NaN
14,35,44,10,20,2,21,1,50,27,29,50,18,25.58333333,22,0,NaN
14,8,24,48,30,16,14,3,5,48,22,27,46,24.25,34,0,NaN
14,49,13,27,13,36,11,33,18,22,48,8,7,23.75,14,0,NaN
14,33,5,8,31,5,35,33,49,31,16,15,43,25.33333333,46,1,NaN
14,17,36,23,43,17,9,3,24,43,30,37,44,27.16666667,45,0,NaN
14,16,8,33,18,43,46,48,45,47,19,29,34,32.16666667,12,1,NaN
14,17,2,6,18,20,39,1,5,33,2,16,17,14.66666667,43,1,NaN
14,3,19,41,34,42,28,22,29,44,3,11,45,26.75,28,1,NaN
14,46,38,43,32,27,45,14,18,33,24,27,29,31.33333333,9,0,NaN
14,14,4,21,28,22,5,18,37,36,33,48,39,25.41666667,33,0,NaN
14,42,47,8,8,31,29,20,11,25,22,5,15,21.91666667,21,0,NaN
14,37,34,37,49,11,25,28,39,4,50,21,39,31.16666667,36,1,NaN
14,32,39,48,7,3,34,18,14,2,5,32,33,22.25,41,0,NaN
14,46,40,30,11,43,33,28,36,27,22,22,25,30.25,7,1,NaN
14,35,10,9,3,43,35,6,28,32,22,19,49,24.25,35,0,NaN
14,40,23,18,10,26,39,16,9,2,30,37,46,24.66666667,25,1,NaN
14,20,33,8,39,1,8,18,7,17,38,42,2,19.41666667,3,0,NaN
14,34,24,12,48,21,17,32,13,2,38,44,47,27.66666667,32,0,NaN
14,49,16,44,46,17,45,49,6,37,48,11,1,30.75,8,1,NaN
14,37,47,30,23,29,46,33,14,15,18,3,12,25.58333333,33,1,NaN
14,31,18,43,12,50,43,33,44,34,13,9,49,31.58333333,3,1,NaN
14,13,30,47,8,13,37,47,21,26,21,27,27,26.41666667,5,1,NaN
14,43,43,12,6,12,6,22,37,21,26,36,3,22.25,30,1,NaN
14,10,29,30,49,42,36,5,43,3,47,17,9,26.66666667,39,0,NaN
14,12,45,40,37,15,5,2,5,26,42,17,21,22.25,47,1,NaN
14,47,41,50,12,22,26,39,6,23,2,35,47,29.16666667,27,1,NaN
14,1,24,30,49,9,1,20,30,46,31,17,22,23.33333333,40,0,NaN
14,48,37,21,33,21,24,48,44,40,26,28,12,31.83333333,18,1,NaN
14,18,35,4,1,19,30,43,47,15,43,13,40,25.66666667,16,1,NaN
14,50,27,21,2,42,50,31,21,5,20,34,29,27.66666667,40,1,NaN
14,39,6,11,14,36,46,49,46,25,9,34,30,28.75,47,1,NaN
14,11,39,50,14,10,30,3,50,3,7,33,12,21.83333333,31,0,NaN
14,43,29,38,25,10,43,36,33,20,9,32,21,28.25,26,1,NaN
14,16,7,41,31,49,30,50,1,24,22,1,33,25.41666667,22,1,NaN
14,9,4,43,43,20,22,31,40,26,29,46,36,29.08333333,21,0,NaN
14,28,32,26,42,12,4,5,13,31,42,16,4,21.25,10,0,NaN
14,50,16,24,42,1,37,14,26,31,47,50,41,31.58333333,24,1,NaN
14,26,2,28,19,24,49,7,31,29,49,34,49,28.91666667,37,1,NaN
14,5,13,8,19,24,6,37,33,18,27,24,22,19.66666667,9,0,NaN
14,4,14,28,49,3,14,6,31,43,17,15,18,20.16666667,44,0,NaN
14,22,13,16,19,9,13,4,23,11,42,1,16,15.75,15,0,NaN
14,48,32,10,17,9,23,29,22,7,48,40,6,24.25,28,1,NaN
14,33,16,47,50,32,21,8,4,36,8,38,11,25.33333333,16,0,NaN
14,50,44,45,17,12,36,10,33,44,41,36,44,34.33333333,13,0,NaN
14,37,12,3,11,37,33,5,27,10,42,7,22,20.5,48,1,NaN
14,26,18,30,24,10,42,1,1,18,48,49,37,25.33333333,6,1,NaN
14,34,49,45,33,31,12,50,46,18,49,35,34,36.33333333,43,1,NaN
14,35,43,18,33,8,5,3,6,4,32,22,17,18.83333333,12,1,NaN
14,30,43,22,13,37,48,39,31,16,30,5,22,28,38,1,NaN
14,16,5,18,18,28,33,6,25,50,32,14,24,22.41666667,2,0,NaN
14,8,22,13,26,41,8,15,18,31,42,19,30,22.75,26,0,NaN
14,49,15,46,17,21,30,14,42,28,32,30,38,30.16666667,23,0,NaN
14,17,27,39,3,30,34,19,38,49,13,7,4,23.33333333,32,1,NaN
14,18,46,43,20,46,16,18,2,20,35,36,8,25.66666667,46,0,NaN
14,33,50,16,47,19,5,20,38,4,36,20,19,25.58333333,4,0,NaN
14,4,10,1,39,29,25,12,45,28,49,16,4,21.83333333,27,0,NaN
14,13,37,17,46,12,24,39,24,43,19,35,38,28.91666667,42,1,NaN
14,16,43,23,10,1,43,41,17,3,37,42,41,26.41666667,20,1,NaN
14,38,14,34,5,39,27,12,27,8,32,16,13,22.08333333,42,1,NaN
14,17,18,43,15,8,22,39,27,20,35,50,50,28.66666667,29,0,NaN
14,37,50,10,26,45,6,34,25,2,16,15,48,26.16666667,1,0,NaN
14,43,27,3,21,35,37,48,46,3,29,24,5,26.75,34,0,NaN
14,24,50,49,20,26,35,24,27,44,42,22,41,33.66666667,50,1,NaN
14,35,8,28,41,50,8,10,34,48,14,9,10,24.58333333,20,1,NaN
14,23,45,20,2,27,34,33,24,4,6,38,7,21.91666667,49,0,NaN
14,26,12,2,21,35,38,40,33,24,23,14,20,24,11,1,NaN
14,2,36,5,34,30,21,37,9,23,19,21,13,20.83333333,23,1,NaN
14,1,35,27,9,50,14,37,25,20,4,1,10,19.41666667,24,0,NaN
14,18,1,35,4,32,46,31,13,47,15,31,32,25.41666667,4,1,NaN
14,5,11,21,40,8,18,23,15,24,29,29,26,20.75,7,1,NaN
14,28,6,31,49,24,17,18,27,47,45,13,44,29.08333333,49,0,NaN
14,47,37,23,2,48,37,45,20,8,34,36,33,30.83333333,44,1,NaN
14,23,12,17,10,45,13,13,43,39,8,13,11,20.58333333,19,0,NaN
14,25,39,49,30,16,13,11,18,27,28,37,31,27,11,1,NaN
14,14,1,41,25,6,45,17,26,49,35,36,3,24.83333333,1,1,NaN
14,35,46,33,33,23,18,45,26,1,19,37,27,28.58333333,2,1,NaN
14,25,49,23,32,27,2,44,20,22,2,17,2,22.08333333,37,0,NaN
14,23,19,25,9,39,47,46,38,20,9,35,47,29.75,10,1,NaN
14,34,28,18,4,25,43,22,39,40,33,40,42,30.66666667,NaN,NaN,1
14,45,46,39,5,21,16,32,39,36,19,15,26,28.25,NaN,NaN,0
14,27,23,9,22,31,28,37,11,4,6,23,11,19.33333333,NaN,NaN,1
14,8,41,12,30,26,29,33,11,45,19,17,6,23.08333333,NaN,NaN,0
14,5,42,44,2,45,49,33,29,36,49,3,44,31.75,NaN,NaN,1
14,17,23,33,47,26,8,29,12,11,18,11,9,20.33333333,NaN,NaN,1
14,6,5,12,46,30,35,19,12,15,32,36,25,22.75,NaN,NaN,1
14,24,28,42,29,20,23,14,40,47,45,28,40,31.66666667,NaN,NaN,0
14,43,10,39,21,25,22,18,40,6,32,34,45,27.91666667,NaN,NaN,0
14,46,9,7,49,6,2,18,22,15,2,48,7,19.25,NaN,NaN,0
15,21,8,29,38,14,3,12,20,35,21,46,29,23,38,0,NaN
15,14,17,14,2,40,26,23,12,47,1,30,12,19.83333333,36,1,NaN
15,50,16,24,42,1,37,14,26,31,47,50,41,31.58333333,24,1,NaN
15,13,30,47,8,13,37,47,21,26,21,27,27,26.41666667,5,1,NaN
15,17,18,43,15,8,22,39,27,20,35,50,50,28.66666667,29,0,NaN
15,28,32,26,42,12,4,5,13,31,42,16,4,21.25,10,0,NaN
15,37,12,3,11,37,33,5,27,10,42,7,22,20.5,48,1,NaN
15,26,18,30,24,10,42,1,1,18,48,49,37,25.33333333,6,1,NaN
15,35,43,18,33,8,5,3,6,4,32,22,17,18.83333333,12,1,NaN
15,37,34,37,49,11,25,28,39,4,50,21,39,31.16666667,36,1,NaN
15,25,49,23,32,27,2,44,20,22,2,17,2,22.08333333,37,0,NaN
15,14,1,41,25,6,45,17,26,49,35,36,3,24.83333333,1,1,NaN
15,34,15,28,8,34,42,48,27,8,21,14,7,23.83333333,45,1,NaN
15,40,23,18,10,26,39,16,9,2,30,37,46,24.66666667,25,1,NaN
15,46,40,30,11,43,33,28,36,27,22,22,25,30.25,7,1,NaN
15,2,36,5,34,30,21,37,9,23,19,21,13,20.83333333,23,1,NaN
15,39,6,11,14,36,46,49,46,25,9,34,30,28.75,47,1,NaN
15,23,19,25,9,39,47,46,38,20,9,35,47,29.75,10,1,NaN
15,38,21,4,43,38,14,4,30,25,30,24,24,24.58333333,5,0,NaN
15,1,7,6,34,39,15,41,18,7,10,15,7,16.66666667,13,0,NaN
15,50,44,45,17,12,36,10,33,44,41,36,44,34.33333333,13,0,NaN
15,16,43,23,10,1,43,41,17,3,37,42,41,26.41666667,20,1,NaN
15,48,32,10,17,9,23,29,22,7,48,40,6,24.25,28,1,NaN
15,8,8,39,45,39,45,29,14,30,25,15,48,28.75,30,1,NaN
15,26,12,2,21,35,38,40,33,24,23,14,20,24,11,1,NaN
15,5,13,8,19,24,6,37,33,18,27,24,22,19.66666667,9,0,NaN
15,18,1,35,4,32,46,31,13,47,15,31,32,25.41666667,4,1,NaN
15,33,16,47,50,32,21,8,4,36,8,38,11,25.33333333,16,0,NaN
15,38,29,47,50,10,35,40,37,42,7,30,36,33.41666667,17,1,NaN
15,18,35,4,1,19,30,43,47,15,43,13,40,25.66666667,16,1,NaN
15,22,13,16,19,9,13,4,23,11,42,1,16,15.75,15,0,NaN
15,10,29,30,49,42,36,5,43,3,47,17,9,26.66666667,39,0,NaN
15,40,12,1,37,41,21,48,1,48,44,18,39,29.16666667,31,1,NaN
15,25,33,21,27,41,9,50,50,33,3,2,14,25.66666667,6,1,NaN
15,26,2,28,19,24,49,7,31,29,49,34,49,28.91666667,37,1,NaN
15,16,8,33,18,43,46,48,45,47,19,29,34,32.16666667,12,1,NaN
15,35,44,10,20,2,21,1,50,27,29,50,18,25.58333333,22,0,NaN
15,31,18,43,12,50,43,33,44,34,13,9,49,31.58333333,3,1,NaN
15,35,8,28,41,50,8,10,34,48,14,9,10,24.58333333,20,1,NaN
15,16,7,41,31,49,30,50,1,24,22,1,33,25.41666667,22,1,NaN
15,18,46,43,20,46,16,18,2,20,35,36,8,25.66666667,46,0,NaN
15,11,28,33,41,25,12,35,42,49,21,14,5,26.33333333,25,0,NaN
15,50,27,21,2,42,50,31,21,5,20,34,29,27.66666667,40,1,NaN
15,32,39,48,7,3,34,18,14,2,5,32,33,22.25,41,0,NaN
15,12,45,40,37,15,5,2,5,26,42,17,21,22.25,47,1,NaN
15,34,24,12,48,21,17,32,13,2,38,44,47,27.66666667,32,0,NaN
15,3,14,30,18,30,27,3,7,11,25,23,39,19.16666667,18,0,NaN
15,43,29,38,25,10,43,36,33,20,9,32,21,28.25,26,1,NaN
15,28,6,31,49,24,17,18,27,47,45,13,44,29.08333333,49,0,NaN
15,35,46,33,33,23,18,45,26,1,19,37,27,28.58333333,2,1,NaN
15,8,22,13,26,41,8,15,18,31,42,19,30,22.75,26,0,NaN
15,14,4,21,28,22,5,18,37,36,33,48,39,25.41666667,33,0,NaN
15,43,27,3,21,35,37,48,46,3,29,24,5,26.75,34,0,NaN
15,28,39,34,41,6,38,38,8,12,43,38,40,30.41666667,19,1,NaN
15,33,5,8,31,5,35,33,49,31,16,15,43,25.33333333,46,1,NaN
15,41,22,21,2,9,15,46,8,48,4,34,42,24.33333333,39,0,NaN
15,13,22,4,1,41,16,11,14,9,44,21,15,17.58333333,17,0,NaN
15,4,10,1,39,29,25,12,45,28,49,16,4,21.83333333,27,0,NaN
15,30,43,22,13,37,48,39,31,16,30,5,22,28,38,1,NaN
15,24,50,49,20,26,35,24,27,44,42,22,41,33.66666667,50,1,NaN
15,33,50,16,47,19,5,20,38,4,36,20,19,25.58333333,4,0,NaN
15,2,38,24,38,15,40,18,33,29,3,43,44,27.25,14,1,NaN
15,13,37,17,46,12,24,39,24,43,19,35,38,28.91666667,42,1,NaN
15,16,5,18,18,28,33,6,25,50,32,14,24,22.41666667,2,0,NaN
15,9,4,43,43,20,22,31,40,26,29,46,36,29.08333333,21,0,NaN
15,37,47,30,23,29,46,33,14,15,18,3,12,25.58333333,33,1,NaN
15,35,10,9,3,43,35,6,28,32,22,19,49,24.25,35,0,NaN
15,14,39,48,40,14,18,46,24,41,9,44,29,30.5,48,0,NaN
15,23,45,20,2,27,34,33,24,4,6,38,7,21.91666667,49,0,NaN
15,1,24,30,49,9,1,20,30,46,31,17,22,23.33333333,40,0,NaN
15,4,14,28,49,3,14,6,31,43,17,15,18,20.16666667,44,0,NaN
15,46,38,43,32,27,45,14,18,33,24,27,29,31.33333333,9,0,NaN
15,49,16,44,46,17,45,49,6,37,48,11,1,30.75,8,1,NaN
15,29,38,35,32,42,38,47,28,40,9,50,35,35.25,15,1,NaN
15,25,39,49,30,16,13,11,18,27,28,37,31,27,11,1,NaN
15,17,36,23,43,17,9,3,24,43,30,37,44,27.16666667,45,0,NaN
15,37,50,10,26,45,6,34,25,2,16,15,48,26.16666667,1,0,NaN
15,49,15,46,17,21,30,14,42,28,32,30,38,30.16666667,23,0,NaN
15,34,49,45,33,31,12,50,46,18,49,35,34,36.33333333,43,1,NaN
15,48,37,21,33,21,24,48,44,40,26,28,12,31.83333333,18,1,NaN
15,3,19,41,34,42,28,22,29,44,3,11,45,26.75,28,1,NaN
15,47,41,50,12,22,26,39,6,23,2,35,47,29.16666667,27,1,NaN
15,1,35,27,9,50,14,37,25,20,4,1,10,19.41666667,24,0,NaN
15,49,13,27,13,36,11,33,18,22,48,8,7,23.75,14,0,NaN
15,42,47,8,8,31,29,20,11,25,22,5,15,21.91666667,21,0,NaN
15,17,27,39,3,30,34,19,38,49,13,7,4,23.33333333,32,1,NaN
15,23,12,17,10,45,13,13,43,39,8,13,11,20.58333333,19,0,NaN
15,43,43,12,6,12,6,22,37,21,26,36,3,22.25,30,1,NaN
15,2,35,7,5,34,6,2,45,14,3,40,50,20.25,8,0,NaN
15,34,33,8,36,43,29,12,24,31,16,1,1,22.33333333,29,0,NaN
15,38,14,34,5,39,27,12,27,8,32,16,13,22.08333333,42,1,NaN
15,8,24,48,30,16,14,3,5,48,22,27,46,24.25,34,0,NaN
15,16,41,42,48,8,16,45,23,19,29,32,2,26.75,35,1,NaN
15,19,12,3,44,48,17,33,37,49,46,19,18,28.75,41,1,NaN
15,11,39,50,14,10,30,3,50,3,7,33,12,21.83333333,31,0,NaN
15,17,2,6,18,20,39,1,5,33,2,16,17,14.66666667,43,1,NaN
15,20,33,8,39,1,8,18,7,17,38,42,2,19.41666667,3,0,NaN
15,5,11,21,40,8,18,23,15,24,29,29,26,20.75,7,1,NaN
15,27,1,2,31,25,16,27,24,7,9,29,10,17.33333333,50,0,NaN
15,47,37,23,2,48,37,45,20,8,34,36,33,30.83333333,44,1,NaN
15,18,34,5,29,50,5,15,5,44,12,40,50,25.58333333,NaN,NaN,0
15,13,40,4,27,26,37,32,37,14,34,49,36,29.08333333,NaN,NaN,1
15,18,33,11,35,24,16,43,28,49,26,23,9,26.25,NaN,NaN,0
15,34,44,4,4,11,29,30,37,36,49,44,7,27.41666667,NaN,NaN,1
15,38,21,18,3,22,28,5,42,29,2,21,27,21.33333333,NaN,NaN,1
15,33,17,46,22,1,46,36,46,7,39,11,1,25.41666667,NaN,NaN,1
15,38,11,47,24,25,14,19,14,37,17,2,15,21.91666667,NaN,NaN,0
15,33,18,40,16,27,35,8,23,2,25,28,42,24.75,NaN,NaN,1
15,17,7,47,47,40,22,21,14,15,2,7,44,23.58333333,NaN,NaN,1
15,13,30,33,48,29,23,46,9,22,49,30,24,29.66666667,NaN,NaN,1
16,48,37,21,33,21,24,48,44,40,26,28,12,31.83333333,18,1,NaN
16,2,35,7,5,34,6,2,45,14,3,40,50,20.25,8,0,NaN
16,28,39,34,41,6,38,38,8,12,43,38,40,30.41666667,19,1,NaN
16,33,5,8,31,5,35,33,49,31,16,15,43,25.33333333,46,1,NaN
16,5,11,21,40,8,18,23,15,24,29,29,26,20.75,7,1,NaN
16,37,50,10,26,45,6,34,25,2,16,15,48,26.16666667,1,0,NaN
16,16,43,23,10,1,43,41,17,3,37,42,41,26.41666667,20,1,NaN
16,47,41,50,12,22,26,39,6,23,2,35,47,29.16666667,27,1,NaN
16,23,19,25,9,39,47,46,38,20,9,35,47,29.75,10,1,NaN
16,8,24,48,30,16,14,3,5,48,22,27,46,24.25,34,0,NaN
16,35,8,28,41,50,8,10,34,48,14,9,10,24.58333333,20,1,NaN
16,14,17,14,2,40,26,23,12,47,1,30,12,19.83333333,36,1,NaN
16,50,27,21,2,42,50,31,21,5,20,34,29,27.66666667,40,1,NaN
16,16,8,33,18,43,46,48,45,47,19,29,34,32.16666667,12,1,NaN
16,32,39,48,7,3,34,18,14,2,5,32,33,22.25,41,0,NaN
16,1,35,27,9,50,14,37,25,20,4,1,10,19.41666667,24,0,NaN
16,43,43,12,6,12,6,22,37,21,26,36,3,22.25,30,1,NaN
16,23,12,17,10,45,13,13,43,39,8,13,11,20.58333333,19,0,NaN
16,4,10,1,39,29,25,12,45,28,49,16,4,21.83333333,27,0,NaN
16,47,37,23,2,48,37,45,20,8,34,36,33,30.83333333,44,1,NaN
16,8,22,13,26,41,8,15,18,31,42,19,30,22.75,26,0,NaN
16,34,49,45,33,31,12,50,46,18,49,35,34,36.33333333,43,1,NaN
16,11,28,33,41,25,12,35,42,49,21,14,5,26.33333333,25,0,NaN
16,35,44,10,20,2,21,1,50,27,29,50,18,25.58333333,22,0,NaN
16,49,15,46,17,21,30,14,42,28,32,30,38,30.16666667,23,0,NaN
16,13,30,47,8,13,37,47,21,26,21,27,27,26.41666667,5,1,NaN
16,3,14,30,18,30,27,3,7,11,25,23,39,19.16666667,18,0,NaN
16,33,16,47,50,32,21,8,4,36,8,38,11,25.33333333,16,0,NaN
16,12,45,40,37,15,5,2,5,26,42,17,21,22.25,47,1,NaN
16,23,45,20,2,27,34,33,24,4,6,38,7,21.91666667,49,0,NaN
16,9,4,43,43,20,22,31,40,26,29,46,36,29.08333333,21,0,NaN
16,48,32,10,17,9,23,29,22,7,48,40,6,24.25,28,1,NaN
16,8,8,39,45,39,45,29,14,30,25,15,48,28.75,30,1,NaN
16,39,6,11,14,36,46,49,46,25,9,34,30,28.75,47,1,NaN
16,31,18,43,12,50,43,33,44,34,13,9,49,31.58333333,3,1,NaN
16,4,14,28,49,3,14,6,31,43,17,15,18,20.16666667,44,0,NaN
16,34,24,12,48,21,17,32,13,2,38,44,47,27.66666667,32,0,NaN
16,26,18,30,24,10,42,1,1,18,48,49,37,25.33333333,6,1,NaN
16,17,36,23,43,17,9,3,24,43,30,37,44,27.16666667,45,0,NaN
16,29,38,35,32,42,38,47,28,40,9,50,35,35.25,15,1,NaN
16,35,10,9,3,43,35,6,28,32,22,19,49,24.25,35,0,NaN
16,37,12,3,11,37,33,5,27,10,42,7,22,20.5,48,1,NaN
16,37,34,37,49,11,25,28,39,4,50,21,39,31.16666667,36,1,NaN
16,50,44,45,17,12,36,10,33,44,41,36,44,34.33333333,13,0,NaN
16,20,33,8,39,1,8,18,7,17,38,42,2,19.41666667,3,0,NaN
16,46,38,43,32,27,45,14,18,33,24,27,29,31.33333333,9,0,NaN
16,35,43,18,33,8,5,3,6,4,32,22,17,18.83333333,12,1,NaN
16,38,29,47,50,10,35,40,37,42,7,30,36,33.41666667,17,1,NaN
16,34,15,28,8,34,42,48,27,8,21,14,7,23.83333333,45,1,NaN
16,1,24,30,49,9,1,20,30,46,31,17,22,23.33333333,40,0,NaN
16,1,7,6,34,39,15,41,18,7,10,15,7,16.66666667,13,0,NaN
16,5,13,8,19,24,6,37,33,18,27,24,22,19.66666667,9,0,NaN
16,28,6,31,49,24,17,18,27,47,45,13,44,29.08333333,49,0,NaN
16,3,19,41,34,42,28,22,29,44,3,11,45,26.75,28,1,NaN
16,24,50,49,20,26,35,24,27,44,42,22,41,33.66666667,50,1,NaN
16,22,13,16,19,9,13,4,23,11,42,1,16,15.75,15,0,NaN
16,16,41,42,48,8,16,45,23,19,29,32,2,26.75,35,1,NaN
16,18,35,4,1,19,30,43,47,15,43,13,40,25.66666667,16,1,NaN
16,49,13,27,13,36,11,33,18,22,48,8,7,23.75,14,0,NaN
16,40,12,1,37,41,21,48,1,48,44,18,39,29.16666667,31,1,NaN
16,21,8,29,38,14,3,12,20,35,21,46,29,23,38,0,NaN
16,25,49,23,32,27,2,44,20,22,2,17,2,22.08333333,37,0,NaN
16,19,12,3,44,48,17,33,37,49,46,19,18,28.75,41,1,NaN
16,25,39,49,30,16,13,11,18,27,28,37,31,27,11,1,NaN
16,42,47,8,8,31,29,20,11,25,22,5,15,21.91666667,21,0,NaN
16,49,16,44,46,17,45,49,6,37,48,11,1,30.75,8,1,NaN
16,43,27,3,21,35,37,48,46,3,29,24,5,26.75,34,0,NaN
16,14,39,48,40,14,18,46,24,41,9,44,29,30.5,48,0,NaN
16,38,21,4,43,38,14,4,30,25,30,24,24,24.58333333,5,0,NaN
16,34,33,8,36,43,29,12,24,31,16,1,1,22.33333333,29,0,NaN
16,17,2,6,18,20,39,1,5,33,2,16,17,14.66666667,43,1,NaN
16,11,39,50,14,10,30,3,50,3,7,33,12,21.83333333,31,0,NaN
16,13,22,4,1,41,16,11,14,9,44,21,15,17.58333333,17,0,NaN
16,14,1,41,25,6,45,17,26,49,35,36,3,24.83333333,1,1,NaN
16,40,23,18,10,26,39,16,9,2,30,37,46,24.66666667,25,1,NaN
16,26,2,28,19,24,49,7,31,29,49,34,49,28.91666667,37,1,NaN
16,50,16,24,42,1,37,14,26,31,47,50,41,31.58333333,24,1,NaN
16,38,14,34,5,39,27,12,27,8,32,16,13,22.08333333,42,1,NaN
16,16,7,41,31,49,30,50,1,24,22,1,33,25.41666667,22,1,NaN
16,28,32,26,42,12,4,5,13,31,42,16,4,21.25,10,0,NaN
16,46,40,30,11,43,33,28,36,27,22,22,25,30.25,7,1,NaN
16,13,37,17,46,12,24,39,24,43,19,35,38,28.91666667,42,1,NaN
16,43,29,38,25,10,43,36,33,20,9,32,21,28.25,26,1,NaN
16,26,12,2,21,35,38,40,33,24,23,14,20,24,11,1,NaN
16,33,50,16,47,19,5,20,38,4,36,20,19,25.58333333,4,0,NaN
16,18,46,43,20,46,16,18,2,20,35,36,8,25.66666667,46,0,NaN
16,14,4,21,28,22,5,18,37,36,33,48,39,25.41666667,33,0,NaN
16,37,47,30,23,29,46,33,14,15,18,3,12,25.58333333,33,1,NaN
16,2,38,24,38,15,40,18,33,29,3,43,44,27.25,14,1,NaN
16,41,22,21,2,9,15,46,8,48,4,34,42,24.33333333,39,0,NaN
16,16,5,18,18,28,33,6,25,50,32,14,24,22.41666667,2,0,NaN
16,18,1,35,4,32,46,31,13,47,15,31,32,25.41666667,4,1,NaN
16,25,33,21,27,41,9,50,50,33,3,2,14,25.66666667,6,1,NaN
16,17,27,39,3,30,34,19,38,49,13,7,4,23.33333333,32,1,NaN
16,17,18,43,15,8,22,39,27,20,35,50,50,28.66666667,29,0,NaN
16,27,1,2,31,25,16,27,24,7,9,29,10,17.33333333,50,0,NaN
16,2,36,5,34,30,21,37,9,23,19,21,13,20.83333333,23,1,NaN
16,10,29,30,49,42,36,5,43,3,47,17,9,26.66666667,39,0,NaN
16,30,43,22,13,37,48,39,31,16,30,5,22,28,38,1,NaN
16,35,46,33,33,23,18,45,26,1,19,37,27,28.58333333,2,1,NaN
16,26,50,7,2,37,19,44,29,37,24,15,10,25,NaN,NaN,1
16,13,48,28,7,12,48,16,43,34,9,16,11,23.75,NaN,NaN,0
16,45,25,28,21,1,49,5,34,42,29,13,2,24.5,NaN,NaN,0
16,26,25,41,13,30,40,50,1,42,47,41,37,32.75,NaN,NaN,1
16,5,29,39,9,49,22,38,47,17,46,37,34,31,NaN,NaN,1
16,25,1,44,49,14,32,7,22,14,27,36,41,26,NaN,NaN,1
